Gerdau Divinopolis | Lat: -20.153202, Lon: -44.878179 | 724.88m
Gerdau Jackson - Michigan | Lat: 42.202633, Lon: -84.364510 | 293.29m
Gerdau Jackson - Tennessee | Lat: 35.727201, Lon: -88.806991 | 106.38m
Gerdau Monroe | Lat: 41.894130, Lon: -83.359534 | 183.7m
Gerdau Ouro Branco | Lat: -20.541310, Lon: -43.753073 | 1115.77m
Gerdau Petersburg | Lat: 37.187114, Lon: -77.449968 | 45.75m
Gerdau Pindamonhangaba | Lat: -22.902637, Lon: -45.353175 | 956.09m
Gerdau Riograndense | Lat: -29.814950, Lon: -51.175052 | 5.68m
Gerdau Sete Lagoas | Lat: -19.523321, Lon: -44.265651 | 721.97m
Gerdau Whitby | Lat: 43.855629, Lon: -78.910699 | 225.38m
Gerdau Wilton | Lat: 41.586421, Lon: -91.039889 | 228.84m
Gibson Complex | Lat: 38.305699, Lon: -87.707787 | 143.82m
Goedehoop | Lat: -26.047781, Lon: 29.490333 | 1662.94m
Goedgevonden | Lat: -26.090777, Lon: 29.075798 | 1565.36m
Golden Grove | Lat: -28.745323, Lon: 116.946342 | 378.0m
Goldstrike | Lat: 40.977127, Lon: -116.360987 | 1523.31m
Granite City Works | Lat: 38.699156, Lon: -90.145555 | 171.31m
Great Lakes Works | Lat: 42.257311, Lon: -83.136662 | 176.83m
Great Noligwa | Lat: -26.959709, Lon: 26.785123 | 1337.77m
Greenbrier | Lat: 38.026151, Lon: -80.649032 | 1000.67m
Greens Creek | Lat: 58.082359, Lon: -134.639236 | 273.19m
Greenside | Lat: -25.958266, Lon: 29.180219 | 1592.8m
Griffin | Lat: -33.398910, Lon: 116.320451 | 285.9m
Grootegeluk | Lat: -23.656537, Lon: 27.569235 | 1226.53m
Gualcamayo | Lat: -29.697555, Lon: -68.628701 | 1512.21m
Guanaco and Amancaya | Lat: -25.108197, Lon: -69.522433 | 2711.2m
Guelb Moghrein | Lat: 19.753850, Lon: -14.417672 | 98.13m
Gunnedah | Lat: -30.631634, Lon: 150.194269 | 375.85m
Guston Run | Lat: 39.689671, Lon: -80.060006 | 319.24m
Haile | Lat: 34.597729, Lon: -80.539238 | 189.18m
Halls Creek | Lat: -18.408645, Lon: 127.356787 | 397.12m
Hamersley - Channar | Lat: -23.301847, Lon: 117.779851 | 483.61m
Hamersley - Eastern Range | Lat: -23.263437, Lon: 117.693051 | 545.23m
Hamersley Mines | Lat: -22.421624, Lon: 117.350456 | 619.55m
Hamilton Complex | Lat: 38.172777, Lon: -88.611503 | 128.77m
Hamilton Works | Lat: 43.270290, Lon: -79.822405 | 78.6m
Haystack | Lat: 41.413133, Lon: -110.676760 | 2065.45m
Hazard | Lat: 37.381832, Lon: -83.189067 | 295.87m
Henderson | Lat: 39.769816, Lon: -105.837471 | 1585.12m
Hercules | Lat: 28.033364, Lon: -103.763675 | 1403.54m
Higginsville Gold Operations | Lat: -31.731194, Lon: 121.721675 | 261.06m
Highland | Lat: 37.735500, Lon: -87.777803 | 121.57m
