Constancia | Lat: -14.463609, Lon: -71.794035 | Copper
Contrecoeur steel plant | Lat: 45.841764, Lon: -73.249502 | Processing
Cooke | Lat: -26.297840, Lon: 27.720386 | Gold
Copebras | Lat: -18.145250, Lon: -47.822956 | Other mine
Coppabella | Lat: -21.865151, Lon: 148.425903 | Coal
Copper Cliff North | Lat: 46.492037, Lon: -81.067292 | Nickel
Copper Cliff South | Lat: 46.459226, Lon: -81.080656 | Nickel
COR Industri Indonesia | Lat: -1.939415, Lon: 121.321470 | Processing
Coral Bay Nickel Corporation | Lat: 8.557308, Lon: 117.424679 | Processing
Cordero Rojo | Lat: 44.033534, Lon: -105.331367 | Coal
Corridor G | Lat: 38.124524, Lon: -81.891225 | Coal
Cortez | Lat: 40.225773, Lon: -116.662591 | Gold
Corumba | Lat: -19.206758, Lon: -57.580081 | Iron
Cosmos | Lat: -27.590127, Lon: 120.581848 | Nickel
Cowal | Lat: -33.640609, Lon: 147.399575 | Gold
Coyote Creek | Lat: 47.169977, Lon: -101.871689 | Coal
Cozamin | Lat: 22.800486, Lon: -102.576798 | Copper
Cracow | Lat: -25.295076, Lon: 150.298710 | Gold
Creighton | Lat: 46.473832, Lon: -81.188178 | Nickel
Cripple Creek & Victor | Lat: 38.744538, Lon: -105.146628 | Gold
CRL Queensland | No coordinates. | Iron
CSA | Lat: -31.409105, Lon: 145.799881 | Copper
Cuajone | Lat: -17.038403, Lon: -70.704952 | Copper
Cubatao | Lat: -23.861373, Lon: -46.374494 | Processing
Cumberland River | Lat: 36.970117, Lon: -82.741940 | Coal
Cumnock | Lat: -32.407591, Lon: 151.058158 | Coal
Curragh | Lat: -23.497410, Lon: 148.844833 | Coal
Cusi | Lat: 28.244160, Lon: -106.837528 | Silver
Damanjodi Refinery | Lat: 18.774267, Lon: 82.912876 | Processing
Darby | Lat: 36.875595, Lon: -83.035559 | Coal
Dariba Smelter | Lat: 24.962779, Lon: 74.121613 | Processing
Darling Range Mines | Lat: -32.917528, Lon: 116.031296 | Aluminium
Darlot | Lat: -27.896319, Lon: 121.272666 | Gold
Dartbrook | Lat: -32.152931, Lon: 150.827038 | Coal
Datong Coal Industry | Lat: 39.859641, Lon: 112.600514 | Coal
Datun | Lat: 34.853368, Lon: 116.909329 | Coal
Daunia | Lat: -22.060838, Lon: 148.297624 | Coal
Dawson | Lat: -24.629531, Lon: 150.061578 | Coal
Daxin | No coordinates. | Other (poly)-metallic
De Bron Merriespruit | No coordinates. | Other mine
Debari Smelter | Lat: 24.601198, Lon: 73.816272 | Processing
Decker | Lat: 45.055867, Lon: -106.821155 | Coal
Deerni | Lat: 34.198213, Lon: 100.695101 | Copper
Deflector | Lat: -28.661411, Lon: 116.374346 | Gold
DeGrussa | Lat: -25.539949, Lon: 119.322927 | Copper
Delma | Lat: -26.264540, Lon: 28.831212 | Coal
Denisovskiy | Lat: 56.774962, Lon: 124.845125 | Coal
Deschambault Aluminium Smelter | Lat: 46.692787, Lon: -71.944984 | Processing
Dian Dian | Lat: 10.893066, Lon: -14.228071 | Aluminium
Diavik | Lat: 64.488290, Lon: -110.271629 | Other mine
Didipio | Lat: 16.327030, Lon: 121.451490 | Gold
Dilworth | Lat: 39.832474, Lon: -79.954167 | Coal
Dodge Hill | Lat: 37.555517, Lon: -88.042484 | Coal
Dofasco Hamilton | Lat: 43.260067, Lon: -79.812069 | Processing
Dolomit | Lat: 53.289234, Lon: 39.150880 | Other mine
Dolores | Lat: 28.989353, Lon: -108.536707 | Gold
Dongpo | Lat: 39.421773, Lon: 112.402487 | Coal
Donlin Creek | Lat: 62.039549, Lon: -158.212571 | Other mine
Dotiki Complex | Lat: 37.453541, Lon: -87.773653 | Coal
Drayton | Lat: -32.354978, Lon: 150.900863 | Coal
DRDGOLD | No coordinates. | Other mine
Driefontein | Lat: -26.390570, Lon: 27.489972 | Gold
Drummond Cesar | Lat: 9.678668, Lon: -73.496516 | Coal
DTEK Dobropolyeugol | Lat: 48.492108, Lon: 37.065993 | Coal
DTEK Obukhovskaya | Lat: 48.049851, Lon: 40.308424 | Coal
DTEK Pavlohradcoal | Lat: 48.540726, Lon: 36.058463 | Coal
DTEK Rovenkyanthracite | Lat: 48.151444, Lon: 39.219755 | Coal
DTEK Sverdlovanthracite | Lat: 48.058351, Lon: 39.696667 | Coal
Duck Pond | Lat: 48.643991, Lon: -56.488776 | Copper
Dugald River | Lat: -20.249549, Lon: 140.151902 | Zinc
Dugout Canyon | Lat: 39.683083, Lon: -110.545099 | Coal
Duketon | Lat: -27.781762, Lon: 122.334692 | Gold
Dunkerque | Lat: 50.999484, Lon: 2.167468 | Processing
Dunkirk steel plant | Lat: 51.040792, Lon: 2.295889 | Processing
Duobaoshan | Lat: 50.133706, Lon: 125.794477 | Copper
Durnacol | Lat: -28.057077, Lon: 30.013122 | Coal
Dvoinoye | Lat: 67.638925, Lon: 169.205828 | Other mine
Dwarsrivier | Lat: -24.936885, Lon: 30.127611 | Other (poly)-metallic
